,Code,Location,city,state_or_country
0,ABE  ,"Aberdeen, WA",Aberdeen, WA
1,ABG ,"Alburg, VT",Alburg, VT
2,ABQ ,"Albuquerque, NM",Albuquerque, NM
3,ABS  ,"Alburg Springs, VT",Alburg Springs, VT
4,ADT  ,"Amistad Dam, TX",Amistad Dam, TX
5,AGA ,"Agana, Guam",Agana, Guam
6,AGN ,"Algonac, MI",Algonac, MI
7,AGU ,"Mayaguez, PR",Mayaguez, PR
8,AKR  ,"Akron, OH",Akron, OH
9,ALB  ,"Albany, NY",Albany, NY
10,ALC  ,"Alcan, AK",Alcan, AK
11,ALP  ,"Alpena, MI",Alpena, MI
12,AMB ,"Ambrose, ND",Ambrose, ND
13,ANA ,"Anacortes, WA",Anacortes, WA
14,ANC ,"Anchorage, AK",Anchorage, AK
15,AND ,"Andrade, CA",Andrade, CA
16,ANP  ,"Antelope Wells, NM",Antelope Wells, NM
17,ANT  ,"Antler, ND",Antler, ND
18,ANZ ,"Anzaldaus, TX",Anzaldaus, TX
19,ARU ,Aruba,Aruba,
20,AST  ,"Astoria, OR",Astoria, OR
21,ATB  ,"Ashtabula, OH",Ashtabula, OH
22,ATL  ,"Atlanta, GA",Atlanta, GA
23,ATW ,"Appleton, WI",Appleton, WI
24,AUS ,"Austin, TX",Austin, TX
25,AXB  ,"Alexandria Bay, NY",Alexandria Bay, NY
26,BAL  ,"Baltimore, MD",Baltimore, MD
27,BAU ,"Baudette, MN",Baudette, MN
28,BAY  ,"Bayfield, WI",Bayfield, WI
29,BBM ,"Brownsville, B&M Bridge",Brownsville, B&M Bridge
30,BCK  ,"Bucksport, ME",Bucksport, ME
31,BCM ,"Battle Creek and Kalamazoo County Airport, MI",Battle Creek and Kalamazoo County Airport, MI
32,BCY  ,"Bay City, MI",Bay City, MI
33,BEA  ,"Beaumont, TX",Beaumont, TX
34,BEB  ,"Beebe Plain, VT",Beebe Plain, VT
35,BEE  ,"Beecher Falls, VT",Beecher Falls, VT
36,BEL  ,"Bellingham, WA",Bellingham, WA
37,BGC ,"Bridgeport, CT",Bridgeport, CT
38,BGM ,"Bangor, ME",Bangor, ME
39,BHM ,"Bar Harbor, ME    Ferry Terminal",Bar Harbor, ME    Ferry Terminal
40,BIL   ,"Billings, MT",Billings, MT
41,BLA  ,"Blaine, WA",Blaine, WA
42,BOA ,"El Paso, TX Bridge of Americas",El Paso, TX Bridge of Americas
43,BOC ,"Boca Grande, FL",Boca Grande, FL
44,BOO ,"Boothbay Harbor, ME",Boothbay Harbor, ME
45,BOS ,"Boston, MA",Boston, MA
46,BRG ,"Burlington, VT",Burlington, VT
47,BRO ,"Brownsville, TX",Brownsville, TX
48,BRU ,"Brunswick, GA",Brunswick, GA
49,BTM ,"Butte, MT",Butte, MT
50,BTN  ,"Baton Rouge, LA",Baton Rouge, LA
51,BUF  ,"Buffalo, NY",Buffalo, NY
52,BWA ,"Boundary, WA",Boundary, WA
53,BWM,"Bridgewater, ME",Bridgewater, ME
54,CAL  ,"Calexico, CA",Calexico, CA
55,CAN ,"Cape Canaveral, FL",Cape Canaveral, FL
56,CAP  ,"Cape Vincent, NY",Cape Vincent, NY
57,CBH ,"Churubusco, IN",Churubusco, IN
58,CHA ,"Charlotte Amalie, St. Thomas, VI",Charlotte Amalie," St. Thomas, VI"
59,CHF  ,"Chief Mountain, MT",Chief Mountain, MT
60,CHI  ,"Chicago, IL",Chicago, IL
61,CHL  ,"Charleston, SC",Charleston, SC
62,CHM ,"Champlain, NY",Champlain, NY
